Latitude,Longitude
9.419985,4.103187
13.00049,12.450214
12.818884,6.074024
11.82047,6.803141
13.912474,3.589053
11.753653,6.189018
6.61158,8.131423
11.874515,9.831839
11.374234,11.626851
9.66666,9.519989
12.988124,9.172659
11.17657,13.569621
7.821083,13.758212
4.522144,13.595322
11.405581,12.0467
4.002551,11.217946
9.919353,13.364667
9.181136,6.782422
6.241329,8.703785
11.093823,5.286374
11.971962,6.121326
12.959422,8.151256
11.059992,12.873099
5.574072,13.728687
12.147203,10.971914
4.015509,11.101024
4.76611,12.835256
9.68204,5.781832
8.458692,13.344643
11.528508,8.194441
11.015108,13.945492
11.188398,3.266032
9.819991,11.656136
9.337315,4.654442
8.184868,12.858621
5.732476,11.426103
12.557425,13.313996
13.689835,7.02504
9.429922,12.501732
8.340001,5.871402
6.071586,13.693673
6.125689,9.867986
12.234341,8.191118
13.890195,5.358398
5.688954,10.794901
13.011364,11.478747
11.348208,7.32055
9.453554,13.64443
9.549939,10.405225
10.60175,7.278583
13.025068,11.699528
4.591559,5.847711
9.495661,13.670524
11.081826,10.192654
8.2078,7.201798
9.985946,12.992124
4.488723,3.080345
12.66116,11.738796
5.822096,8.507129
11.339099,11.333409
6.455538,10.946889
11.672203,5.700298
5.300808,3.339209
13.897021,11.598582
5.812527,7.390749
5.924942,8.908829
13.768362,11.18168
10.574973,3.283001
8.633255,13.780977
12.754362,11.524213
4.420137,8.411209
12.213992,13.955852
10.520928,10.675828
9.225918,8.904289
9.350396,5.353939
4.597117,4.395834
4.26868,8.694041
4.389974,7.989736
13.032867,7.519065
9.619573,8.146722
10.113736,12.602976
7.794296,10.136147
11.160689,6.8855
12.585712,8.042914
5.118303,8.140143
10.439206,5.563259
6.23168,4.30638
12.670668,3.173544
13.952882,4.234874
5.803212,4.338471
8.548231,12.258445
13.918938,12.616932
10.861119,7.415535
11.185992,5.480798
13.638374,8.845402
6.587934,7.613211
8.007872,6.814239
5.826808,4.039706
9.529421,9.893419
13.677237,8.829511
7.238773,5.440132
4.802693,6.285624
6.251751,7.792008
5.538993,5.567202
6.691504,8.998378
12.135794,6.331876
10.734395,3.282473
6.514054,3.732573
10.607518,3.707683
7.49937,13.042899
4.55733,10.513199
9.771776,11.383664
7.178881,10.1851
7.810866,7.040392
6.653434,12.432265
5.602268,6.225856
13.420226,5.259288
8.120634,3.628908
10.435181,6.339837
9.325931,11.793409
7.938931,9.465907
8.830623,8.183748
8.268572,4.141868
7.482762,8.573185
7.021727,7.034251
6.485321,5.65669
12.112593,10.088961
5.808883,10.974165
9.20972,4.634474
8.290881,3.067728
5.206972,13.370042
12.003066,9.056954
12.198446,12.351771
13.27543,3.560733
12.33609,4.250091
5.82369,13.875916
5.017662,3.096964
6.066894,10.939055
9.712648,5.817906
12.704895,10.034631
5.682923,8.591568
4.36881,7.457203
9.003464,9.522187
4.81128,8.776118
7.852228,12.557695
10.369833,9.35914
4.968625,11.8916
11.674177,13.184654
11.709365,5.905365
6.403621,8.331326
7.216073,7.904381
12.441692,5.833297
5.497297,4.354106
4.425416,5.020799
12.676345,4.085804
7.98781,6.66214
10.350092,9.495405
6.658827,9.07442
8.605878,7.72723
8.838706,5.415803
7.89727,6.537409
4.705275,11.409488
9.046767,11.972972
11.135553,8.381542
7.087385,3.630768
11.882384,7.587647
12.679391,4.401138
6.910577,11.498382
13.863627,9.291722
10.262805,9.022066
10.440703,9.375911
8.094716,4.097881
8.264669,3.706476
11.478378,6.771038
12.441609,11.182233
11.871998,4.012954
12.919537,13.680179
11.385226,4.724431
13.979634,10.02686
9.717225,5.525872
5.793555,13.449153
9.520056,12.032461
12.531283,13.176618
12.776458,4.037325
6.894252,4.599222
5.468043,6.599236
5.521644,5.318036
13.331922,4.312853
8.117316,10.439412
7.841861,6.079574
12.948393,3.270444
8.482185,5.568375
5.607355,7.625981
9.087634,9.046993
11.11362,4.126142
8.788541,10.184175
10.229836,7.97087
5.002105,6.447362
9.669656,4.898776
8.361875,12.471318
10.276799,6.689404
11.659912,7.246046
4.422382,11.494251
11.263643,11.954637
13.810513,4.742702
8.921721,4.350499
5.087168,12.167675
4.33429,4.962885
6.524919,4.153268
12.174574,13.463915
4.67059,7.747526
4.060474,6.838598
4.302712,13.039379
6.046428,8.510923
8.935716,7.289743
11.971886,7.35406
8.706147,8.757348
4.001565,12.521038
7.237421,3.173425
9.93817,8.986519
13.73289,4.103376
7.680871,8.139066
6.694129,4.817065
7.640369,7.764636
6.429196,10.652014
7.083334,9.923391
10.215989,11.604432
9.373377,6.948232
8.799829,6.643529
9.978615,8.457215
12.351802,6.119595
11.770482,5.027876
13.326128,3.113392
10.906627,6.181707
8.977204,10.463807
10.740352,9.309309
5.145541,7.2674
4.362112,7.161269
4.27935,6.064282
8.748701,4.737494
9.493701,10.968295
12.261844,9.115171
4.646082,10.84475
8.880675,5.427298
13.841092,12.186305
6.720887,8.212275
11.061647,7.075106
7.654941,7.52186
6.61396,11.438993
4.425385,8.41179
6.726915,7.606041
12.120825,12.6846
13.577546,9.366269
7.548002,3.663859
9.275865,5.285542
7.700673,12.020937
7.622254,5.239492
13.01574,6.8451
10.666793,4.836936
12.622225,11.668395
4.254611,9.790892
5.278851,13.434781
9.115319,13.430678
11.954155,9.17121
7.358921,10.173975
4.86792,9.760909
6.311557,5.819544
9.973206,9.763648
11.540245,13.236974
5.279572,9.236342
10.738543,13.020761
8.120303,7.081578
4.221763,9.210895
11.596788,3.673907
5.555718,10.359688
10.872435,4.838877
5.340077,12.698508
